course_name,course_credits,course_uni,course_location,application_status,initial_tuition_fee,total_tuition_fee,period,course_dates,level,language_of_instruction,application_code,teaching_form,meetings,pace_of_study,instructional_time,location,subject_areas,top_level_subjects,course_starts,link
Advanced Methods in Biochemistry,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 1 Oct,Master's,English,SU-53090,"Course, On-campus",,Full-time,Daytime,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KB7014/en?eventident=53090&semester=20234
Advanced Molecular Biology,15,Umeå University,Umeå,Open for late application,35700,35700,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,UMU-51427,"Course, On-campus",,Full-time,Daytime,Umeå,Molecular Biology,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5MO105
Advanced non-fictional Chinese I,7.5,University of Gothenburg,Göteborg,Open for late application,11125,11125,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-13450,"Course, On-campus",,Half-time,Daytime,Göteborg,Chinese,Languages,,https://www.gu.se/en/study-gothenburg/KI2101
Advanced non-fictional Chinese I,7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-13451,"Course, Distance",0,Half-time,Daytime,Varied,Chinese,Languages,,https://www.gu.se/en/study-gothenburg/KI2101
Advanced Organic Chemistry,15,University of Gothenburg,Göteborg,Closed and will not be opened for late application,31000,31000,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-11659,"Course, On-campus",,Full-time,Daytime,Göteborg,Chemistry,Natural Science,,https://www.gu.se/en/study-gothenburg/KEM815
Advanced Organic Chemistry,7.5,KTH Royal Institute of Technology,Stockholm,Open for late application,19375,19375,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,KTH-50789,"Course, On-campus",,Half-time,Daytime,Stockholm,Chemistry,Natural Science,,https://www.kth.se/student/kurser/kurs/CK2310?startterm=20232&l=en
Advanced Organic Synthesis,15,Stockholm University,Stockholm,Open for late application,35000,35000,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-55445,"Course, On-campus",,Full-time,Daytime,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KO7010/en?eventident=55445&semester=20234
Advanced phylogenetics,10,University of Gothenburg,Göteborg,Open for late application,20667,20667,Autumn 2023 Period 2,30 Oct - 17 Dec,Master's,English,GU-11256,"Course, On-campus",,Full-time,Daytime,Göteborg,Biology,Natural Science,,https://www.gu.se/en/study-gothenburg/BIO404
Advanced Physiology,9,KTH Royal Institute of Technology,Solna,Open for late application,23250,23250,Autumn 2023 Period 2,30 Oct - 21 Jan,Master's,English,KTH-10143,"Course, On-campus",,Half-time,Daytime,Solna,Medicine,Health and Medical Care,,https://www.kth.se/student/kurser/kurs/HL2018?startterm=20232&l=en
"Advanced Physiology, Smaller Course",6,KTH Royal Institute of Technology,Solna,Open for late application,15500,15500,Autumn 2023 Period 2,30 Oct - 21 Jan,Master's,English,KTH-10144,"Course, On-campus",,33%,Daytime,Solna,Medicine,Health and Medical Care,,https://www.kth.se/student/kurser/kurs/HL2017?startterm=20232&l=en
Advanced Plant Breeding and Genetic Resources,15,Swedish University of Agricultural Sciences,Lomma,Open for late application,38060,38060,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20053,"Course, On-campus",,Full-time,Daytime,Lomma,"Biology, Horticultural Science","Agriculture, Horticulture, Forestry and Fishery | Natural Science",,https://www.slu.se/en/education/programmes-courses/course/b4f60319-4ade-11ed-8e62-1d9cdd564588
Advanced Practice,15,Swedish University of Agricultural Sciences,Lomma,Open for late application,38060,38060,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,SLU-10106,"Course, On-campus",,Full-time,Daytime,Lomma,Agricultural Science,"Agriculture, Horticulture, Forestry and Fishery",,https://www.slu.se/en/education/programmes-courses/course/9718f332-5507-11ed-a806-5f53db194482
Advanced Practice,15,Swedish University of Agricultural Sciences,Lomma,Open for late application,38060,38060,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20033,"Course, On-campus",,Full-time,Daytime,Lomma,Agricultural Science,"Agriculture, Horticulture, Forestry and Fishery",,https://www.slu.se/en/education/programmes-courses/course/e9680b63-5509-11ed-a806-5f53db194482
Advanced Programming,7.5,Malmö University,Malmö,Closed for late application,18000,18000,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,MAU-38900,"Course, On-campus",,Half-time,Daytime,Malmö,"Computer Science, Technology",Technology | Computer Science and Engineering,,https://mau.se/en/study-education/course/DA405E
Advanced programming in Python,7.5,University of Gothenburg,Göteborg,Closed for late application,18625,18625,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,GU-18619,"Course, On-campus",,Half-time,Daytime,Göteborg,Computer Science,Computer Science and Engineering,,https://www.gu.se/en/study-gothenburg/DIT515
Advanced Programming in R,6,Linköping University,Linköping,Open for late application,11598,11598,Autumn 2023 Period 1,21 Aug - 29 Oct,Master's,English,LIU-46185,"Course, On-campus",,Half-time,Daytime,Linköping,"Computer Science and Engineering, Global Health, Statistics",Health and Medical Care | Computer Science and Engineering | Social Science and Behavioural Science | Mathematics,,https://liu.se/en/education/course/732a94
Advanced Project in Molecular Biology,15,Umeå University,Umeå,Open for late application,35700,35700,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,UMU-51412,"Course, On-campus",,Half-time,Daytime,Umeå,Molecular Biology,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5MO133
Advanced Project in Molecular Biology,30,Umeå University,Umeå,Open for late application,71400,71400,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,UMU-51411,"Course, On-campus",,Full-time,Daytime,Umeå,Molecular Biology,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5MO134
Advanced qualitative methods,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 2,27 Nov - 14 Jan,Master's,English,SU-30027,"Course, On-campus",,Full-time,Daytime,Stockholm,Peace and Development Studies,Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/EH6112/en?eventident=30027&semester=20234
Advanced quantitative methods,7.5,Stockholm University,Stockholm,Open for late application,11250,11250,Autumn 2023 Period 2,27 Nov - 14 Jan,Master's,English,SU-30021,"Course, On-campus",,Full-time,Daytime,Stockholm,Economic History,Humanities | Business Administration and Economics | Social Science and Behavioural Science,,https://sisu.it.su.se/search/info/EH6100/en?eventident=30021&semester=20234
Advanced Real Analysis I,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-48217,"Course, On-campus",,One-quarter-time,Daytime,Stockholm,Mathematics,Mathematics,,https://sisu.it.su.se/search/info/MM7046/en?eventident=48217&semester=20234
Advanced Requirements Engineering,7.5,University of Gothenburg,Göteborg,Closed and will not be opened for late application,18625,18625,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,GU-18663,"Course, On-campus",,Half-time,Daytime,Göteborg,Computer Science,Computer Science and Engineering,,https://www.gu.se/en/study-gothenburg/DIT285
"Advanced research traineeship in Biochemistry, Biophysics, Bioinformatics or Neurochemistry I",7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-53091,"Course, On-campus",,Full-time,Mixed-time,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KB7019/en?eventident=53091&semester=20234
"Advanced research traineeship in Biochemistry, Biophysics, Bioinformatics or Neurochemistry II",7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-53093,"Course, On-campus",,Full-time,Mixed-time,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KB8026/en?eventident=53093&semester=20234
Advanced Research Traineeship in Biology I,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-56972,"Course, On-campus",,Full-time,Daytime,Stockholm,Biology,Natural Science,,https://sisu.it.su.se/search/info/BL7060/en?eventident=56972&semester=20234
Advanced Research Traineeship in Biology I,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-56989,"Course, On-campus",,Full-time,Daytime,Stockholm,Biology,Natural Science,,https://sisu.it.su.se/search/info/BL7060/en?eventident=56989&semester=20234
Advanced Research Traineeship in Biology II,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-56992,"Course, On-campus",,Full-time,Daytime,Stockholm,Biology,Natural Science,,https://sisu.it.su.se/search/info/BL8061/en?eventident=56992&semester=20234
Advanced Research Traineeship in Biology II,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SU-56993,"Course, On-campus",,Full-time,Daytime,Stockholm,Biology,Natural Science,,https://sisu.it.su.se/search/info/BL8061/en?eventident=56993&semester=20234
"Advanced Research Traineeship in Materials Chemistry, Physical Chemistry, Inorganic Chemistry, Analytical Chemistry I",7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-54247,"Course, On-campus",,Full-time,Mixed-time,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KZ7010/en?eventident=54247&semester=20234
"Advanced Research Traineeship in Materials Chemistry, Physical Chemistry, Inorganic Chemistry, Analytical Chemistry II",7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-54250,"Course, On-campus",,Full-time,Mixed-time,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KZ8020/en?eventident=54250&semester=20234
Advanced Research Traineeship in Organic Chemistry I,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-55446,"Course, On-campus",,Full-time,Mixed-time,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KO7014/en?eventident=55446&semester=20234
Advanced Research Traineeship in Organic Chemistry II,7.5,Stockholm University,Stockholm,Open for late application,17500,17500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,SU-55447,"Course, On-campus",,Full-time,Mixed-time,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KO8005/en?eventident=55447&semester=20234
Advanced Separation Methods,10,Stockholm University,Stockholm,Closed and will not be opened for late application,23333,23333,Autumn 2023 Period 1,28 Aug - 8 Oct,Master's,English,SU-54258,"Course, On-campus",,Full-time,Daytime,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KZ7101/en?eventident=54258&semester=20234
Advanced Separation Methods,10,Stockholm University,Stockholm,Open for late application,23333,23333,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,SU-54275,"Course, On-campus",,Three-quarter-time,Daytime,Stockholm,Chemistry,Natural Science,,https://sisu.it.su.se/search/info/KZ7101/en?eventident=54275&semester=20234
