subject_areas,Top_Level_Subjects
"Agricultural Science, Economics","['Agriculture, Horticulture, Forestry and Fishery', 'Business Administration and Economics']"
"Agricultural Science, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery']"
"Agricultural Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
"Agricultural Science, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery']"
Agricultural Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Design,"['Arts, Design and Media']"
Media Technology,"['Arts, Design and Media', 'Technology']"
"Computer Technology, Embedded systems, Human-Computer Interaction, Information Systems, Information Technology, Product Development, Project Management","['Technology', 'Business Administration and Economics', 'Computer Science and Engineering', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Industrial Economics, Organisation and Management","['Organisation and Management', 'Industrial Economics']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Electronics,['Technology']
Computer Science,['Computer Science and Engineering']
Biology,['Natural Science']
Computer Science,['Computer Science and Engineering']
"Biology, Forestry","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
"Biology, Ecology, Statistics","['Natural Science', 'Social Science and Behavioural Science', 'Mathematics']"
"Building Technology , Building Technology and Civil Engineering, Technology","['Materials, Construction and Manufacturing', 'Technology']"
Mathematics,['Mathematics']
"Economics, Finance, Mathematical Statistics, Mathematics","['Business Administration and Economics', 'Mathematics']"
,['']
Biology,['Natural Science']
Biology,['Natural Science']
Animal Science,"['Agriculture, Horticulture, Forestry and Fishery']"
Animal Science,"['Agriculture, Horticulture, Forestry and Fishery']"
"Agricultural Science, Animal Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Biology,['Natural Science']
"Animal Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Sociology,['Social Science and Behavioural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Social Science,['Social Science and Behavioural Science']
Social Science,['Social Science and Behavioural Science']
"Area Studies, European Studies, Social Science and Behavioural Science","['Humanities', 'Social Science and Behavioural Science']"
"Community Planning, Human Geography and Geography, Information Technology","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Community Planning, Human Geography and Geography, Information Technology","['Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Computer Science and Engineering, Computer Technology","['Technology', 'Computer Science and Engineering']"
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
"Computer Science, Computer Science and Engineering, Computer Technology","['Technology', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
"Computer Science, Information Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Information Technology","['Technology', 'Computer Science and Engineering']"
Computer Science and Engineering,['Computer Science and Engineering']
Economics,['Business Administration and Economics']
Economics,['Business Administration and Economics']
"Business Administration and Economics, Economics",['Business Administration and Economics']
"Business Administration and Economics, Economics",['Business Administration and Economics']
Chemical Engineering,['Technology']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Global Studies, Philosophy and Logic","['Humanities', 'Social Science and Behavioural Science']"
Biology,['Natural Science']
Mathematics,['Mathematics']
Computer Science and Engineering,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
Economics,['Business Administration and Economics']
"Computer Science, Computer Science and Engineering, Natural Science, Technology","['Technology', 'Natural Science', 'Computer Science and Engineering']"
Natural Science,['Natural Science']
Technology,['Technology']
"Chemistry, Medicinal Chemistry",['Natural Science']
"Chemistry, Medicinal Chemistry",['Natural Science']
Economics,['Business Administration and Economics']
"Bioinformatics, Pharmacology and Pharmacy","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
"Bioinformatics, Pharmacology and Pharmacy","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
"Biology, Horticultural Science","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
"Biology, Forestry","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Sociology,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Technology,['Technology']
Sport Science,['Health and Medical Care']
Political Science,['Social Science and Behavioural Science']
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
Political Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
English,['Languages']
Earth Science,['Natural Science']
"Chemistry, Inorganic Chemistry",['Natural Science']
"Chemistry, Inorganic Chemistry",['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
"Biology, Ecology",['Natural Science']
Earth Science,['Natural Science']
Arabic,['Languages']
Arabic,['Languages']
Archaeology,['Humanities']
Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Technology,['Technology']
Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Technology,['Technology']
Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
"Arts, Design and Media","['Arts', 'Design and Media']"
Biology,['Natural Science']
"Earth Science, Entrepreneurship, Mining and Mineral Technology","['Natural Science', 'Technology', 'Business Administration and Economics', 'Materials, Construction and Manufacturing', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Earth Science, Entrepreneurship, Mining and Mineral Technology","['Natural Science', 'Technology', 'Business Administration and Economics', 'Materials, Construction and Manufacturing', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Gender Studies, Gender Studies","['Humanities', 'Social Science and Behavioural Science']"
Education,['Education/Educational Sciences/Didactics']
Education,['Education/Educational Sciences/Didactics']
"Arts, Design and Media","['Arts', 'Design and Media']"
History and Theory of Arts,"['Arts, Design and Media', 'Humanities']"
History and Theory of Arts,"['Arts, Design and Media', 'Humanities']"
"Computer Science and Engineering, Information Systems",['Computer Science and Engineering']
"Cognitive Science, Computer Science, Game development","['Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Information Technology,"['Technology', 'Computer Science and Engineering']"
Information Systems,['Computer Science and Engineering']
"Bioinformatics, Pharmacology and Pharmacy","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
Medical Technologies,['Health and Medical Care']
Computer Linguistics,"['Humanities', 'Computer Science and Engineering']"
Music,"['Arts, Design and Media']"
Dance,"['Arts, Design and Media']"
Political Science,['Social Science and Behavioural Science']
Chemistry,['Natural Science']
Astronomy,['Natural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Chemistry,['Natural Science']
Meteorology,['Natural Science']
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Physics,['Natural Science']
Physics,['Natural Science']
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
,['']
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
"Development Studies, Social Science, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Analytical Chemistry, Biochemistry, Biotechnology, Chemistry, Gene Technology, Genetics, Molecular Biology","['Technology', 'Natural Science']"
"Analytical Chemistry, Biochemistry, Biotechnology, Chemistry, Gene Technology, Genetics, Molecular Biology","['Technology', 'Natural Science']"
Engineering (Bachelor of Science),['Engineering (Bachelor of Science)']
"Game development, Media Technology, Media Technology","['Arts, Design and Media', 'Technology', 'Computer Science and Engineering']"
Engineering (Bachelor of Science),['Engineering (Bachelor of Science)']
"Business Administration and Economics, Economic History, Economic History, Economic History, Social Science and Behavioural Science","['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Arts, Design and Media, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
International Business Management,['Business Administration and Economics']
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Earth Science, Mining and Mineral Technology, Technology","['Materials, Construction and Manufacturing', 'Technology', 'Natural Science']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
"Arts, Design and Media, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
Computer Science,['Computer Science and Engineering']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
Fine Arts,"['Arts, Design and Media']"
"Arts, Design and Media, Design","['Arts, Design and Media', 'Arts', 'Design and Media']"
Marine Geology,['Natural Science']
Marine Geology,['Natural Science']
"Biology, Biomedicine, Health and Medical Care, Medical Biology","['Health and Medical Care', 'Natural Science']"
Biomedicine,"['Health and Medical Care', 'Natural Science']"
"Biology, Biomedicine, Health and Medical Care, Medical Biology","['Health and Medical Care', 'Natural Science']"
"Business Administration, Economics, Finance",['Business Administration and Economics']
"Business Administration, Economics, Finance",['Business Administration and Economics']
"Music, Musicology, Operatic Stagecraft","['Arts, Design and Media', 'Humanities']"
"Music, Musicology, Operatic Stagecraft","['Arts, Design and Media', 'Humanities']"
"Music, Musicology, Operatic Stagecraft","['Arts, Design and Media', 'Humanities']"
"Music, Musicology, Operatic Stagecraft","['Arts, Design and Media', 'Humanities']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Earth Science,['Natural Science']
"Environmental Science, Care and Protection, Environmental Techniques and Energy Technology, Project Management","['Natural Science', 'Technology', 'Business Administration and Economics', 'Care and Protection', 'Environmental Science', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Arts, Design and Media, Design, Entrepreneurship, Game development, Media Production, Performing Arts and Media","['Arts, Design and Media', 'Arts', 'Technology', 'Business Administration and Economics', 'Computer Science and Engineering', 'Design and Media', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Computer Science, Entrepreneurship, Game development, Media and Communications Studies, Media Production, Project Management, Technical Design","['Arts, Design and Media', 'Technology', 'Business Administration and Economics', 'Computer Science and Engineering', 'Journalism, Communication and Information', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Computer Science, Entrepreneurship, Media Production, Project Management","['Arts, Design and Media', 'Technology', 'Business Administration and Economics', 'Computer Science and Engineering', 'Health and Medical Care', 'Social Science and Behavioural Science']"
"Computer Science, Computer Technology, Electronics, Information Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Business Administration, Political Science","['Business Administration and Economics', 'Social Science and Behavioural Science']"
"Business Administration, Political Science","['Business Administration and Economics', 'Social Science and Behavioural Science']"
Peace and Development Studies,['Social Science and Behavioural Science']
Peace and Development Studies,['Social Science and Behavioural Science']
"Leadership, Organisation and Management, Project Management, Quality Technology","['Technology', 'Business Administration and Economics', 'Organisation and Management', 'Health and Medical Care', 'Leadership', 'Social Science and Behavioural Science']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Engineering (Bachelor of Science),['Engineering (Bachelor of Science)']
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
Music,"['Arts, Design and Media']"
"Bioinformatics, Biology, Biomedicine, Medical Biology, Pharmacology and Pharmacy","['Health and Medical Care', 'Natural Science', 'Computer Science and Engineering']"
Molecular Biology,['Natural Science']
Latvian,['Languages']
Lithuanian,['Languages']
Languages,['Languages']
Languages,['Languages']
Languages,['Languages']
Latvian,['Languages']
Lithuanian,['Languages']
Biology,['Natural Science']
Molecular Biology,['Natural Science']
"Animal Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
Sociology,['Social Science and Behavioural Science']
Biology,['Natural Science']
Electronics,['Technology']
Medical Technologies,['Health and Medical Care']
Radiation Physics,"['Health and Medical Care', 'Natural Science']"
Computer Linguistics,"['Humanities', 'Computer Science and Engineering']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
Mathematical Statistics,['Mathematics']
Swedish,['Languages']
Marine Geology,['Natural Science']
Chemical Engineering,['Technology']
Mathematical Statistics,['Mathematics']
Computer Science and Engineering,['Computer Science and Engineering']
"Building Technology , Building Technology and Civil Engineering, Technology","['Materials, Construction and Manufacturing', 'Technology']"
"Languages, Swedish as a Foreign Language",['Languages']
"Languages, Swedish as a Foreign Language",['Languages']
"Languages, Swedish as a Foreign Language",['Languages']
"Languages, Swedish as a Foreign Language",['Languages']
"Languages, Swedish as a Foreign Language",['Languages']
Swedish as a Foreign Language,['Languages']
Swedish,['Languages']
Swedish,['Languages']
Economics,['Business Administration and Economics']
"Business Administration and Economics, Computer Science, Computer Science and Engineering, Humanities, Natural Science, Social Science and Behavioural Science","['Humanities', 'Natural Science', 'Business Administration and Economics', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Physiotherapy,['Health and Medical Care']
Crafts,"['Arts, Design and Media']"
Design,"['Arts, Design and Media']"
"Business Administration and Economics, Computer Science, Computer Science and Engineering, Humanities, Natural Science, Social Science and Behavioural Science","['Humanities', 'Natural Science', 'Business Administration and Economics', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"Computer Linguistics, English, Languages, Linguistics","['Humanities', 'Computer Science and Engineering', 'Languages']"
Linguistics,['Humanities']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Biochemistry, Chemistry, Protein Chemistry",['Natural Science']
"Biochemistry, Chemistry, Protein Chemistry",['Natural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
"Biology, Natural Science",['Natural Science']
Biology,['Natural Science']
"Medical Technology, Physics","['Health and Medical Care', 'Technology', 'Natural Science']"
Chemistry,['Natural Science']
Earth Science,['Natural Science']
Bioinformatics,"['Natural Science', 'Computer Science and Engineering']"
"Bioinformatics, Bioinformatics, Bioinformatics","['Natural Science', 'Computer Science and Engineering']"
"Animal Science, Biology","['Agriculture, Horticulture, Forestry and Fishery', 'Natural Science']"
"Ecology, Religious Studies, Social Anthropology","['Religious Studies', 'Natural Science', 'Social Science and Behavioural Science']"
Biology,['Natural Science']
Biology,['Natural Science']
"Molecular Biology, Systems Biology","['Natural Science', 'Computer Science and Engineering']"
Medical Technologies,['Health and Medical Care']
Technology,['Technology']
"Medical Technology, Technology","['Health and Medical Care', 'Technology']"
"Electrical Engineering, Health and Medical Care, Health Informatics, Medical Technology, Medicine, Physiology, Signal processing","['Health and Medical Care', 'Technology', 'Computer Science and Engineering', 'Natural Science']"
Chemical Engineering,['Technology']
"Health and Medical Care, Natural Science","['Health and Medical Care', 'Natural Science']"
"Health and Medical Care, Natural Science","['Health and Medical Care', 'Natural Science']"
"Biomedicine, Natural Science","['Health and Medical Care', 'Natural Science']"
Biotechnology,"['Technology', 'Natural Science']"
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Arts, Design and Media, Cultural Studies, Humanities","['Humanities', 'Arts', 'Design and Media']"
"Global Health, Health and Medical Care, Public Health, Statistics","['Health and Medical Care', 'Social Science and Behavioural Science', 'Mathematics']"
"Global Health, Health and Medical Care, Public Health, Statistics","['Health and Medical Care', 'Social Science and Behavioural Science', 'Mathematics']"
Technology,['Technology']
Marine Geology,['Natural Science']
"Nursing Science and Nursing, Public Health",['Health and Medical Care']
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
,['']
Vehicle Engineering,['Technology']
"Building Technology and Civil Engineering, Environmental Techniques and Energy Technology","['Materials, Construction and Manufacturing', 'Technology', 'Natural Science']"
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
Environmental Techniques and Energy Technology,"['Technology', 'Natural Science']"
"Building Technology , Building Technology and Civil Engineering, Technology","['Materials, Construction and Manufacturing', 'Technology']"
"Business Administration, Information Systems, International Business Management, Leadership, Organisation and Management, Social Science and Behavioural Science","['Business Administration and Economics', 'Organisation and Management', 'Computer Science and Engineering', 'Leadership', 'Social Science and Behavioural Science']"
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
Business Administration,['Business Administration and Economics']
"Leadership, Organisation and Management","['Organisation and Management', 'Leadership']"
"Leadership, Organisation and Management","['Organisation and Management', 'Leadership']"
"Information Systems, Information Technology","['Technology', 'Computer Science and Engineering']"
Information Systems,['Computer Science and Engineering']
English,['Languages']
Information Systems,['Computer Science and Engineering']
Computer Science and Engineering,['Computer Science and Engineering']
Business Administration,['Business Administration and Economics']
"Entrepreneurship, Entrepreneurship, Entrepreneurship, Entrepreneurship","['Health and Medical Care', 'Technology', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Business Administration, Business Administration and Economics, Logistics","['Technology', 'Business Administration and Economics']"
"Business Administration, Business Administration and Economics, Logistics","['Technology', 'Business Administration and Economics']"
Business Administration,['Business Administration and Economics']
Mathematics,['Mathematics']
Media and Communications Studies,"['Journalism, Communication and Information']"
Physical Planning,"['Materials, Construction and Manufacturing']"
Mathematical Statistics,['Mathematics']
Logic,['Mathematics']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
"Computer Science and Engineering, Statistics","['Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
Economics,['Business Administration and Economics']
Media and Communications Studies,"['Journalism, Communication and Information']"
Biology,['Natural Science']
Central and Eastern European Studies,"['Humanities', 'Social Science and Behavioural Science']"
Comparative Literature,['Humanities']
Comparative Literature,['Humanities']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Political Science,['Social Science and Behavioural Science']
"Business Administration, Entrepreneurship, Leadership, Organisation and Management","['Technology', 'Business Administration and Economics', 'Organisation and Management', 'Health and Medical Care', 'Leadership', 'Social Science and Behavioural Science']"
Computer Science,['Computer Science and Engineering']
"Arts, Design and Media, Humanities","['Humanities', 'Arts', 'Design and Media']"
Work Science,['Social Science and Behavioural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Chemical Engineering,['Technology']
Chemistry,['Natural Science']
Chemistry,['Natural Science']
"Analytical Chemistry, Biochemistry, Biotechnology, Chemistry, Organic Chemistry, Physical Chemistry","['Technology', 'Natural Science']"
"Analytical Chemistry, Biochemistry, Chemistry, Natural Science, Organic Chemistry, Physical Chemistry, Theoretical Chemistry",['Natural Science']
"Chemistry, Medicinal Chemistry, Organic Chemistry",['Natural Science']
"Analytical Chemistry, Bioinformatics, Chemistry, Computational Science, Mathematical Statistics, Organic Chemistry","['Natural Science', 'Computer Science and Engineering', 'Mathematics']"
"Analytical Chemistry, Bioinformatics, Chemistry, Computational Science, Mathematical Statistics, Organic Chemistry","['Natural Science', 'Computer Science and Engineering', 'Mathematics']"
"Children and Youth Education and Care, History, Political Science, Psychology, Social Anthropology, Social Work and Welfare, Sociology","['Health and Medical Care', 'Social Work and Welfare', 'Humanities', 'Social Science and Behavioural Science']"
"Human Rights, Social Science and Behavioural Science",['Social Science and Behavioural Science']
"Human Rights, Social Science and Behavioural Science",['Social Science and Behavioural Science']
Education,['Education/Educational Sciences/Didactics']
"English, Languages",['Languages']
"English, Languages",['Languages']
"Children and Youth Education and Care, Comparative Literature","['Social Work and Welfare', 'Humanities']"
Social Work and Welfare,"['Social Work and Welfare', 'Social Science and Behavioural Science']"
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
Chinese,['Languages']
Chinese,['Languages']
Chinese,['Languages']
Chinese,['Languages']
Chinese,['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
Chinese,['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
Chinese,['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
Chinese,['Languages']
Chinese,['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
"Chinese, Languages",['Languages']
,['']
Religious Studies,['Religious Studies']
Film Studies,"['Arts, Design and Media', 'Humanities']"
